13.73, 100.77, 5, 8, 48
0, 114, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 117, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 110, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 122, 89, ,  NAN
13.73, 100.77, 5, 8, 48
0, 117, 89, ,  NAN
13.73, 100.77, 5, 8, 48
0, 110, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 92, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 4, 88, , 0.00
13.73, 100.77, 5, 8, 48
0, 0, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 115, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 118, 87, ,  NAN
13.73, 100.77, 5, 8, 48
0, 112, 0, ,  NAN
13.73, 100.77, 5, 8, 48
0, 209, 87, ,  NAN
13.73, 100.77, 5, 8, 48
0, 195, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 173, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 168, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 0, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 193, 89, , 0.00
13.73, 100.77, 5, 8, 48
0, 195, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 188, 90, , 0.00
13.73, 100.77, 5, 8, 48
0, 99, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 119, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 129, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 107, 90, ,  NAN
13.73, 100.77, 5, 8, 48
0, 0, 89, ,  NAN
13.73, 100.77, 5, 8, 48
0, 99, 89, ,  NAN
13.73, 100.77, 5, 8, 48
0, 113, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 116, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 114, 0, ,  NAN
13.73, 100.77, 5, 8, 48
0, 8, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 249, 0, ,  NAN
13.73, 100.77, 5, 8, 48
0, 182, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 188, 87, ,  NAN
13.73, 100.77, 5, 8, 48
0, 173, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 197, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 0, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 196, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 204, 88, ,  NAN
13.73, 100.77, 5, 8, 48
0, 195, 0, ,  NAN
13.73, 100.77, 5, 12, 28
0, 167, 88, ,  NAN
13.73, 100.77, 5, 12, 28
0, 255, 88, ,  NAN
13.73, 100.77, 5, 12, 28
0, 209, 87, ,  NAN
13.73, 100.77, 5, 12, 28
0, 102, 0, ,  NAN
13.73, 100.77, 5, 12, 28
0, 225, 87, ,  NAN
13.73, 100.77, 5, 12, 28
0, 210, 88, ,  NAN
13.73, 100.77, 5, 12, 28
0, 239, 88, ,  NAN
13.73, 100.77, 5, 12, 28
0, 22, 88, ,  NAN
13.73, 100.77, 5, 12, 28
0, 10, 88, , 0.00
13.73, 100.77, 5, 12, 28
0, 202, 89, ,  NAN
13.73, 100.77, 5, 12, 28
0, 180, 90, , 0.00
13.73, 100.77, 5, 12, 28
0, 0, 90, ,  NAN
13.73, 100.77, 5, 12, 28
0, 106, 90, , 0.00
